year,discovery_date,fire_name,fire_size_acres,fire_type,average_distance_miles,listed_dates,days_burning,smoke_impact,normalized_smoke_impact
2009,2009-10-12,Pitt Springs (2),5.012969242266547,Wildfire,385.3924553034791,Listed Wildfire Discovery Date(s): 2009-10-12 (1) | Listed Other Fire Date(s): 1899-12-30 - REVDATE field (1),19,0.0006412719210490617,0.0006410663940717912
2009,2009-10-08,Story Book (4),5.6381811903782895,Wildfire,379.4058023859168,Listed Wildfire Discovery Date(s): 2009-10-08 (2) | Listed Other Fire Date(s): 1899-12-30 - REVDATE field (2),23,0.0009008633681910106,0.0009004578343223989
2009,2009-05-23,Tilden1 (2),0.0380486460871756,Wildfire,103.81156293998528,Listed Wildfire Discovery Date(s): 2009-05-23 (1) | Listed Wildfire Controlled Date(s): 2009-05-23 (1) | Listed Wildfire Out Date(s): 2009-05-23 (1) | Listed Other Fire Date(s): 2017-12-01 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2014-03-17 (1),161,0.0005684255940475819,0.000568264101414397
2009,2009-09-19,Sycamore Fire (2),2.9051052906995303e-05,Wildfire,355.9840293904853,Listed Wildfire Discovery Date(s): 2009-09-19 (1) | Listed Wildfire Controlled Date(s): 2009-09-19 (1) | Listed Wildfire Out Date(s): 2009-09-19 (1) | Listed Other Fire Date(s): 2017-12-01 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-06-14 (1),42,9.628311639012581e-09,9.628311592660389e-09
2009,2009-08-02,Crater Exit Fire (2),5.12809643180903e-06,Wildfire,401.5496070431828,Listed Wildfire Discovery Date(s): 2009-08-02 (1) | Listed Wildfire Controlled Date(s): 2009-08-02 (1) | Listed Wildfire Out Date(s): 2009-08-02 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-02-03 (1),90,2.8623338217007748e-09,2.8623338176042972e-09
2010,2010-09-24,Phillips (4),1447.1616006165714,Wildfire,436.6579228761583,"Listed Wildfire Discovery Date(s): 2010-09-24 (1) | Listed Other Fire Date(s): 1899-12-30 - REVDATE field (1), 2010-09-25 - DATE_CUR field (1)",37,0.28082519250543514,0.2475045518584552
2010,2010-10-24,Lokey (2),582.7420341103872,Wildfire,385.622938204292,Listed Wildfire Discovery Date(s): 2010-10-24 (1) | Listed Other Fire Date(s): 1899-12-30 - REVDATE field (1),7,0.02743144382721923,0.027061943826245587
2010,2010-08-06,Sunfish Pond (2),238.4857866046121,Wildfire,135.39675475612307,Listed Wildfire Discovery Date(s): 2010-08-06 (1) | Listed Wildfire Controlled Date(s): 2010-08-13 (1) | Listed Wildfire Out Date(s): 2010-09-01 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2014-12-02 (1),86,1.1187793502581824,0.7508401446799072
2010,2010-06-29,Holiday Fire (3),153.7492684335262,Wildfire,536.1952098977704,"Listed Wildfire Discovery Date(s): 2010-06-29 (1) | Listed Other Fire Date(s): 1899-12-30 - REVDATE field (1), 2010-07-10 - DATE_CUR field (1)",124,0.0663115047932802,0.06420550143636558
2010,2010-07-31,Buck Mtn - Block II (2),135.77067933544728,Wildfire,371.89199503940176,"Listed Wildfire Discovery Date(s): 2010-07-31 (1) | Listed Other Fire Date(s): 1899-12-30 - REVDATE field (1), 2010-08-02 - DATE_CUR field (1)",92,0.09031505646657989,0.08646669710616886
2010,2010-09-08,Great Kills Blowup (25),181.9977536912255,Wildfire,112.8532818654162,"Listed Wildfire Discovery Date(s): 2010-09-08 (12), 2010-03-09 (1), 2010-04-19 (1), 2010-04-10 (2), 2010-08-16 (3), 2010-08-19 (2), 2010-07-08 (1), 2010-12-19 (1), 2010-11-10 (2), 2010-06-19 (1), 2010-08-15 (1), 2010-11-14 (1), 2010-08-18 (2) | Listed Wildfire Controlled Date(s): 2010-09-15 (12), 2010-03-09 (1), 2010-04-19 (1), 2010-04-10 (2), 2010-08-16 (3), 2010-08-19 (2), 2010-07-08 (1), 2010-12-19 (1), 2010-11-10 (2), 2010-06-19 (1), 2010-08-15 (1), 2010-11-14 (1), 2010-08-18 (2) | Listed Wildfire Out Date(s): 2010-09-17 (12), 2010-03-09 (1), 2010-04-19 (1), 2010-04-10 (2), 2010-08-16 (3), 2010-08-19 (2), 2010-07-08 (1), 2010-12-19 (1), 2010-11-10 (2), 2010-06-19 (1), 2010-08-15 (1), 2010-11-14 (1), 2010-08-18 (2) | Listed Other Fire Date(s): 2017-12-01 - NIFC DATE_CUR field (24), 2017-08-07 - NIFC DATE_CUR field (6), 2010-09-16 - DATE_CUR field (1) | Listed Upload Date(s): 2014-03-07 (15), 2017-08-07 (14)",53,0.757379438920444,0.5638237442959274
